RepoName,Description,Language,TotalStars,StarsGainedRecently,URL
tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams—self-contained HTML with motion and crisp export.",HTML,18360,1035,https://github.com/tt-a1i/archify
freestylefly/awesome-gpt-image-2,Prompt as Code | GPT-Image2 工业级提示词引擎与模板库，530+ 个案例逆向工程，20+ 套工业级模板，并提炼出Skills，持续更新中,JavaScript,21699,4050,https://github.com/freestylefly/awesome-gpt-image-2
anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Python,34400,308,https://github.com/anthropics/claude-plugins-official
Alishahryar1/free-claude-code,"Use Claude Code, Codex, Pi, and OpenCode for free (1.3B+ free tokens) from your terminal, app, IDE, or phone like OpenClaw (voice supported + ToS friendly)",Python,50466,536,https://github.com/Alishahryar1/free-claude-code
MadsLorentzen/ai-job-search,"The job search that runs on your machine. AI job application framework built on Claude Code: evaluate postings, tailor CVs, write cover letters, prep interviews. Fork it and own it.",Python,36591,1300,https://github.com/MadsLorentzen/ai-job-search
AgriciDaniel/claude-obsidian,"Self-organizing AI second brain for Obsidian + Claude Code. Drop any source and Claude reads, links, and files it into one connected knowledge graph of plain Markdown you own. AI note-taking, personal knowledge management (PKM), and an open-source Notion alternative. Based on Karpathy's LLM Wiki pattern.",Python,13511,810,https://github.com/AgriciDaniel/claude-obsidian
basecamp/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,32095,1024,https://github.com/basecamp/omarchy
rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others.,Python,49656,838,https://github.com/rohitg00/ai-engineering-from-scratch
tinyhumansai/openhuman,"Your Personal AI super intelligence. A brain that builds a local-first memory of your life, a fantastic orchestrator of agent fleets and workflows, and a deep researcher.",Rust,38274,525,https://github.com/tinyhumansai/openhuman
DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.,JavaScript,112789,1598,https://github.com/DietrichGebert/ponytail
anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code. Read-only mirror — submit plugins at clau.de/plugin-directory-submission.,Python,2240,538,https://github.com/anthropics/claude-plugins-community
ConardLi/garden-skills,"ConardLi's open-source Skills collection, featuring web design, knowledge retrieval, image generation, and more.",CSS,10983,113,https://github.com/ConardLi/garden-skills
browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,Python,111092,149,https://github.com/browser-use/browser-use
K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 175,000+ scientists worldwide. 163 ready-to-use validated skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.",Python,34805,138,https://github.com/K-Dense-AI/scientific-agent-skills
marin-community/marin,Open-source framework for the research and development of foundation models.,Python,2508,441,https://github.com/marin-community/marin
VoltAgent/awesome-agent-skills,"A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.",Not specified,32697,242,https://github.com/VoltAgent/awesome-agent-skills
